,district,address,room_count,area,floors,house_type,price,latitude,longitude,quadrant,price_psqm
2496,centrs,Ģertrūdes 38,3,114.0,2/5,P. kara,700.0,56.9538641,24.128666877855046,919.0,6.140350877192983
2499,centrs,Valdemāra 106,1,37.0,5/5,Staļina,490.0,56.9565184,24.1138584,979.0,13.243243243243244
2513,Torņakalns,Koku 15,1,38.0,6/6,M. ģim.,263.0,56.92206155,24.09469502504755,534.0,6.921052631578948
2514,Sarkandaugava,Tvaika 34,1,33.0,5/5,Renov.,170.0,57.0024524,24.118910937501568,1547.0,5.151515151515151
2515,centrs,Skolas 12,5,141.0,3/4,P. kara,1200.0,56.9570616,24.117705,980.0,8.51063829787234
2518,centrs,Skanstes 29,2,65.0,5/23,Jaun.,750.0,56.9627217,24.1133633,1042.0,11.538461538461538
2521,Grīziņkalns,Pērnavas 55,2,40.0,3/4,P. kara,220.0,56.9532285,24.1543647,924.0,5.5
2527,centrs,Birznieka-Upīša 5/7,6,85.0,2/2,P. kara,250.0,56.9487938,24.1244491,855.0,2.9411764705882355
2569,centrs,Pumpura 5,4,280.0,2/5,Renov.,1990.0,56.9563679,24.1103724,978.0,7.107142857142857
2571,Vecmīlgrāvis,Emmas 28,2,34.0,4/4,Renov.,310.0,57.03179875,24.116664434629,1924.0,9.117647058823529
2574,centrs,Miera 43,1,1001.0,1/2,Priv. m.,350.0,56.965607,24.1330763,1109.0,0.34965034965034963
2585,centrs,Brīvības 37,4,142.0,5/6,P. kara,1250.0,56.9557032,24.1199971,980.0,8.80281690140845
2587,centrs,Čaka 22,3,66.0,3/6,Renov.,700.0,56.9511466,24.1270816,918.0,10.606060606060606
2614,Pļavnieki,Pavasara g. 5,3,62.0,2/9,602.,360.0,56.9346184,24.198101,681.0,5.806451612903226
2621,Vecrīga,Šķūņu 13,4,100.0,5/5,Priv. m.,850.0,56.94934425,24.1072171074694,851.0,8.5
2638,centrs,Valdemāra 121,2,53.0,3/5,P. kara,430.0,56.9668351,24.129754777981177,1108.0,8.11320754716981
2645,Ziepniekkalns,Ziepju 5,2,41.0,3/4,Hrušč.,250.0,56.91504655,24.107985681492643,411.0,6.097560975609756
