district,address,room_count,area,floors,house_type,price,latitude,longitude
Imanta,Anniņmuižas 38 k-3,2,57,6/18,Jaun.,"130,000  €",56.9608756,24.015701800228435
centrs,Zvaigžņu 2,2,35,5/5,P. kara,"58,900  €",57.3778046,21.5660475
centrs,Marijas 1,2,80,3/6,P. kara,"132,000  €",56.948011,24.1193558
centrs,Marijas 1,6,125,4/6,P. kara,"199,000  €",56.948011,24.1193558
centrs,Zvaigžņu 2b,1,26,4/6,P. kara,"32,000  €",57.3778046,21.5660475
Maskavas priekšpilsēta,Daugavpils 52,1,28,5/5,P. kara,250  €/mēn.,,
centrs,Brīvības 159,2,46,3/6,P. kara,"55,000  €",56.9537963,24.117328
Ķengarags,Maskavas 315,1,36,2/12,Čehu pr.,200  €/mēn.,56.9091346,24.18367779623388
Šampēteris-Pleskodāle,Irlavas 26,1,35,2/5,103.,"39,998  €",56.94004775,24.03471459886179
Purvciems,Nīcgales 4,2,50,8/9,602.,20  €/dienā,56.95855125,24.175387470071428
Āgenskalns,Melnsila 28,3,58,1/5,Hrušč.,"111,000  €",56.9463639,24.064095401489567
Jugla,Ciemupes 1,2,50,1/9,Jaun.,"76,000  €",56.9881961,24.246946592724093
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,602.,250  €/mēn.,51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,602.,250  €/mēn.,51.77014725,-1.2649910410071945
Imanta,Dammes 4,1,35,4/9,602.,250  €/mēn.,56.96173755,24.01580305572784
Maskavas priekšpilsēta,Maskavas 190,1,32,3/9,Jaun.,390  €/mēn.,,
centrs,Brīvības 132,2,62,3/5,P. kara,620  €/mēn.,56.9631314,24.1377744
Bolderāja,Kodola 6,1,10,2/2,Specpr.,120  €/mēn.,57.036624,24.04255725000001
centrs,Vidus 11,3,118,2/6,Renov.,"1,200  €/mēn.",56.9615303,24.10291659587181
Čiekurkalns,Rusova 9,3,65,4/7,Jaun.,650  €/mēn.,56.9885541,24.16971784298676
centrs,Matīsa 49,3,70,1/5,P. kara,500  €/mēn.,56.955076000000005,24.13802250653813
centrs,Lāčplēša 129,2,39,1/4,P. kara,"65,500  €",55.8692828,26.5182187
centrs,Baznīcas 7,4,166,6/6,Renov.,"240,000  €",56.9557916,24.117568
Imanta,Anniņmuižas 92,2,50,3/9,602.,"64,500  €",56.9573992,24.0237329
centrs,Valdemāra 41a,2,40,3/7,Jaun.,750  €/mēn.,56.95912665,24.11669989974679
Pļavnieki,Saharova 27,3,74,13/16,Specpr.,"93,000  €",56.9413857,24.2040933
Jugla,Murjāņu 36,1,31,5/5,LT proj.,330  €/mēn.,56.97863375,24.247480052995385
Mežciems,Eizenšteina 35,4,78,6/9,602.,"85,000  €",56.9678443,24.234022900000006
centrs,Tomsona 2,4,123,3/6,P. kara,"198,500  €",56.96346405,24.12405597786933
Purvciems,Sesku 10,1,40,4/5,M. ģim.,250  €/mēn.,,
Purvciems,Staiceles 17,3,62,2/5,LT proj.,"53,990  €",56.95787475,24.1733414
Sarkandaugava,Priežu 14e-83,1,24,1/2,P. kara,"12,500  €",,
Āgenskalns,Daugavgrīvas 41,1,30,2/2,P. kara,"32,300  €",56.9441285,24.0836451
Purvciems,Stirnu 55,1,30,4/5,LT proj.,320  €/mēn.,56.96423965,24.1939779
Ķengarags,Ikšķiles 4,2,45,5/5,LT proj.,"49,900  €",56.90080385,24.20703229999999
Teika,Brīvības 215,2,53,5/5,Specpr.,"40,000  €",56.975238,24.172448948187675
Purvciems,Brantkalna 7,1,45,4/12,104.,270  €/mēn.,56.9500527,24.1921135
Pļavnieki,Salnas 21,2,47,3/9,Jaun.,"93,500  €",56.942327,24.23009287799782
Mežciems,Eizenšteina 37,2,51,1/9,602.,"57,750  €",56.9674866,24.23357643370678
Jugla,Kvēles 27,2,48,2/5,Hrušč.,300  €/mēn.,56.9820393,24.246020693013463
Ķengarags,Maskavas 307,2,38,3/5,LT proj.,230  €/mēn.,56.91116365,24.17949837015532
Ķengarags,Lokomotīves 62,2,38,1/5,LT proj.,260  €/mēn.,56.9066697,24.20501380558243
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Hrušč.,"37,500  €",51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Hrušč.,"37,500  €",51.77014725,-1.2649910410071945
Purvciems,Ieriķu 19,2,45,1/2,Hrušč.,"37,500  €",56.9657678,24.1858786
Mežciems,Kaivas 60,1,32,9/9,Jaun.,280  €/mēn.,56.9571247,24.2475937
Jugla,Brīvības 386/1,2,48,12/10,Jaun.,590  €/mēn.,56.9907911,24.2466615
Pļavnieki,Lubānas 129,1,44,8/9,602.,"40,000  €",56.9411711,24.237357
centrs,Skolas 10,3,198,6/6,Renov.,"295,000  €",56.95679505,24.117743124113645
centrs,Grostonas 12,4,134,3/6,Jaun.,"2,000  €/mēn.",,
Iļģuciems,V. Buļļu 10,1,44,2/9,M. ģim.,"42,000  €",,
Pļavnieki,Dzeņu 1,2,50,3/9,602.,45  €/dienā,56.9408074,24.2087805127632
centrs,Pērnavas 39,1,25,1/6,Renov.,169  €/mēn.,,
Ziepniekkalns,Vienības g. 87a,4,102,1/3,Renov.,"170,000  €",,
Ziepniekkalns,Vienības g. 87A,5,118,1/3,Renov.,"200,600  €",,
Daugavgrīva,Slimnīcas 5,1,34,5/5,103.,"35,000  €",57.03916545,24.03121370376394
Purvciems,Ūnijas 76,3,63,5/5,LT proj.,300  €/mēn.,56.9609795,24.1836189
centrs,Brīvības 66,2,45,5/6,Staļina,520  €/mēn.,56.9569427,24.1232516
